,category_code,status,founded_at,country_code,funding_rounds,funding_total_usd,milestones,relationships,lat,lng,category_code_biotech,category_code_consulting,category_code_ecommerce,category_code_education,category_code_enterprise,category_code_games_video,category_code_hardware,category_code_mobile,category_code_network_hosting,category_code_other,category_code_public_relations,category_code_search,category_code_software,category_code_web,country_code_BRA,country_code_CAN,country_code_DEU,country_code_ESP,country_code_FRA,country_code_GBR,country_code_IND,country_code_IRL,country_code_ISR,country_code_NLD,country_code_USA,country_code_other,isClosed,active_days
5,advertising,1,2007,other,5.0,125371133.0,1.0,2.0,30.4277547,-9.5981072,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3650.0
12,advertising,1,2008,USA,5.0,125371133.0,1.0,2.0,35.6869752,-105.937799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,4745.0
15,games_video,1,2008,USA,5.0,125371133.0,1.0,3.0,33.0786552,-116.6019637,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,3650.0
19,other,1,2007,USA,5.0,68069200.0,1.0,14.0,37.7749295,-122.4194155,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,13870.0
22,software,1,2011,AUS,5.0,125371133.0,1.0,2.0,49.0504377,-122.3044697,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4745.0
30,consulting,1,2009,USA,5.0,125371133.0,1.0,2.0,37.7749295,-122.4194155,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,3650.0
31,other,1,2012,USA,5.0,125371133.0,4.0,3.0,36.0318578,-84.027655,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,3650.0
34,advertising,1,2004,AUS,5.0,125371133.0,1.0,1.0,-35.2962556,139.038277,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5475.0
44,games_video,1,2008,other,5.0,125371133.0,1.0,1.0,35.6092261,139.7301861,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,4745.0
52,other,1,2007,IND,5.0,125371133.0,1.0,2.0,12.9715987,77.5945627,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,5110.0
53,advertising,1,2006,other,5.0,125371133.0,1.0,1.0,30.0444196,31.2357116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,5110.0
55,ecommerce,1,2008,ISR,5.0,125371133.0,1.0,2.0,32.0852999,34.7817676,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,4015.0
57,other,1,1983,USA,5.0,125371133.0,1.0,1.0,43.0717552,-70.7625532,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,18250.0
59,public_relations,1,2007,USA,5.0,125371133.0,1.0,3.0,42.4894801,-83.1446485,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,15330.0
60,software,1,2001,USA,5.0,125371133.0,1.0,3.0,42.6334247,-71.3161718,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,4745.0
62,games_video,1,2008,GBR,5.0,125371133.0,1.0,3.0,51.5073509,-0.1277583,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,3650.0
63,hardware,2,1986,USA,5.0,125371133.0,1.0,1.0,41.3253756,-72.1931338,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3650.0
65,software,1,2004,other,5.0,125371133.0,1.0,1.0,13.7563309,100.5017651,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,8760.0
66,mobile,2,2005,USA,7.0,121500000.0,3.0,45.0,42.3600825,-71.0588801,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3650.0
78,ecommerce,1,2008,USA,5.0,125371133.0,3.0,5.0,37.8590937,-122.4852507,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,18980.0
83,mobile,1,2007,USA,5.0,125371133.0,2.0,10.0,40.7127753,-74.0059728,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,4745.0
84,ecommerce,1,2011,other,5.0,125371133.0,1.0,2.0,48.2081743,16.3738189,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3650.0
85,software,1,2011,GBR,5.0,125371133.0,1.0,2.0,32.5631924,-97.1416768,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,5110.0
87,other,1,2008,IRL,5.0,125371133.0,1.0,5.0,51.8968917,-8.4863157,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,5110.0
92,enterprise,1,1998,NLD,5.0,125371133.0,1.0,2.0,52.4739306,6.0681758,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,5110.0
97,consulting,1,2006,GBR,5.0,125371133.0,1.0,1.0,53.8007554,-1.5490774,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,6570.0
98,web,1,2008,USA,5.0,125371133.0,1.0,1.0,37.8043637,-122.2711137,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,5475.0
101,software,1,1978,USA,5.0,125371133.0,1.0,4.0,34.0380784,-84.5815717,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,3650.0
102,consulting,1,2004,GBR,5.0,125371133.0,1.0,1.0,51.41233,-0.300689,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,3650.0
108,ecommerce,1,2010,NLD,5.0,125371133.0,1.0,2.0,52.3702157,4.8951679,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,6935.0
112,mobile,1,2007,USA,5.0,125371133.0,1.0,2.0,37.7749295,-122.4194155,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,7665.0
113,software,1,2011,USA,5.0,125371133.0,1.0,3.0,41.223,-111.9738304,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,6935.0
116,software,1,1999,USA,5.0,125371133.0,1.0,3.0,31.8087678,-85.969951,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,5110.0
119,public_relations,1,1978,USA,5.0,125371133.0,1.0,5.0,37.4418834,-122.1430195,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,5840.0
121,software,1,2008,USA,5.0,125371133.0,1.0,3.0,33.1580933,-117.3505939,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,6205.0
127,other,1,2001,USA,5.0,125371133.0,1.0,4.0,26.7153424,-80.0533746,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,4380.0
134,ecommerce,1,2006,USA,5.0,46400000.0,2.0,20.0,42.3600825,-71.0588801,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2920.0
136,software,3,2008,USA,5.0,125371133.0,1.0,2.0,32.715738,-117.1610838,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,8030.0
137,games_video,1,2008,USA,5.0,125371133.0,1.0,3.0,37.7749295,-122.4194155,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,3650.0
143,web,1,2007,USA,5.0,125371133.0,3.0,8.0,37.7749295,-122.4194155,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,4015.0
150,advertising,1,2010,USA,5.0,125371133.0,1.0,5.0,26.1275862,-80.2331036,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,4015.0
152,web,2,2002,USA,5.0,125371133.0,1.0,3.0,37.7749295,-122.4194155,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,12775.0
154,public_relations,1,1971,USA,5.0,125371133.0,3.0,23.0,40.7127753,-74.0059728,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,5840.0
160,web,1,2007,USA,5.0,125371133.0,1.0,2.0,26.3683064,-80.1289321,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,8030.0
166,web,1,2008,GBR,5.0,125371133.0,1.0,3.0,51.5073509,-0.1277583,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,4745.0
173,web,1,2011,USA,5.0,125371133.0,1.0,2.0,37.3860517,-122.0838511,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,3650.0
175,ecommerce,1,2011,USA,5.0,125371133.0,1.0,3.0,40.2968979,-111.6946475,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,19710.0
180,advertising,1,2011,USA,5.0,125371133.0,1.0,3.0,27.950575,-82.4571776,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,5110.0
183,consulting,1,2001,USA,5.0,125371133.0,1.0,1.0,32.7766642,-96.7969879,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,5840.0
193,ecommerce,2,2011,other,5.0,125371133.0,1.0,2.0,1.352083,103.819836,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4745.0
196,games_video,1,2008,USA,5.0,125371133.0,3.0,4.0,37.4418834,-122.1430195,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,9125.0
201,web,1,2008,USA,5.0,125371133.0,1.0,1.0,39.9525839,-75.1652215,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,3650.0
203,software,1,2010,USA,5.0,125371133.0,2.0,2.0,27.950575,-82.4571776,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,3650.0
205,games_video,1,2010,BRA,5.0,125371133.0,1.0,1.0,38.3408299,-122.31972,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,6570.0
206,software,1,2007,USA,5.0,125371133.0,3.0,2.0,37.7749295,-122.4194155,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,9125.0
207,software,1,2001,USA,5.0,125371133.0,1.0,9.0,37.7749295,-122.4194155,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,8030.0
216,software,3,2008,USA,5.0,125371133.0,1.0,1.0,42.3317642,-71.1211635,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,7300.0
224,advertising,1,2005,USA,5.0,37570663.0,2.0,4.0,38.0405837,-84.5037164,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,3650.0
226,search,1,2008,GBR,5.0,125371133.0,1.0,2.0,51.5073509,-0.1277583,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,9125.0
231,software,4,1969,USA,5.0,125371133.0,2.0,27.0,34.7464809,-92.2895948,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,3650.0
243,enterprise,2,2008,USA,5.0,142000000.0,3.0,38.0,37.7749295,-122.4194155,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3650.0
245,software,1,2009,other,5.0,125371133.0,1.0,5.0,37.566535,126.9779692,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,5840.0
246,software,1,2008,USA,5.0,125371133.0,1.0,2.0,32.9628232,-117.0358646,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,5475.0
248,advertising,1,2011,other,5.0,125371133.0,1.0,1.0,41.0082376,28.9783589,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,5110.0
249,web,1,2007,USA,5.0,125371133.0,1.0,2.0,47.6768927,-122.2059833,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,5110.0
253,advertising,1,2011,USA,5.0,125371133.0,1.0,6.0,41.49932,-81.6943605,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,4015.0
256,public_relations,1,2007,NLD,5.0,125371133.0,1.0,3.0,52.3702157,4.8951679,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,7665.0
257,software,1,2006,other,5.0,125371133.0,1.0,4.0,55.6760968,12.5683372,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,6935.0
267,games_video,1,2007,USA,5.0,125371133.0,1.0,1.0,40.7259336,-73.5142921,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,8030.0
269,software,1,2005,USA,5.0,125371133.0,1.0,1.0,37.6624312,-121.8746789,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,4015.0
272,mobile,1,2006,ESP,4.0,57735800.0,4.0,50.0,40.4167754,-3.7037902,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,5840.0
273,web,1,2006,USA,5.0,125371133.0,2.0,2.0,40.7127753,-74.0059728,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,4745.0
276,other,1,1998,USA,5.0,125371133.0,1.0,9.0,44.9537029,-93.0899578,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,3650.0
279,web,1,2003,USA,5.0,125371133.0,1.0,2.0,42.4792618,-71.1522765,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,7300.0
286,other,1,2011,USA,5.0,125371133.0,1.0,2.0,36.1699412,-115.1398296,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,4015.0
288,mobile,2,2011,USA,5.0,125371133.0,2.0,4.0,39.0997265,-94.5785667,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,10220.0
289,web,1,2011,USA,5.0,125371133.0,1.0,3.0,39.576406,-106.7234639,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,6935.0
291,consulting,1,1991,USA,5.0,125371133.0,1.0,2.0,32.7766642,-96.7969879,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,6935.0
292,advertising,1,2008,USA,5.0,125371133.0,1.0,1.0,40.8712101,-74.7340523,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,5475.0
300,web,1,2011,IRL,5.0,125371133.0,1.0,2.0,43.1189978,-124.408448,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,3650.0
303,advertising,2,2007,ISR,5.0,125371133.0,1.0,2.0,31.762653,34.966931,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4015.0
304,other,1,2002,USA,5.0,125371133.0,1.0,12.0,27.3364347,-82.5306527,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,3650.0
311,ecommerce,1,2011,CAN,5.0,125371133.0,1.0,3.0,46.8138783,-71.2079809,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,9855.0
313,advertising,1,2008,USA,5.0,125371133.0,1.0,2.0,33.7489954,-84.3879824,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,4745.0
315,other,1,2002,CAN,5.0,125371133.0,1.0,4.0,51.0486151,-114.0708459,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,4745.0
316,software,1,2000,USA,5.0,125371133.0,1.0,2.0,37.6780742,-97.2392359,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,4380.0
320,other,1,2002,USA,5.0,125371133.0,1.0,3.0,42.9633599,-85.6680863,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,9125.0
324,ecommerce,1,2007,USA,5.0,125371133.0,1.0,3.0,39.8868485,-105.762548,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,3650.0
325,web,1,2008,USA,5.0,125371133.0,3.0,1.0,41.6005448,-93.6091064,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,7300.0
328,web,1,2009,USA,5.0,125371133.0,1.0,1.0,41.408969,-75.6624122,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,6570.0
330,software,1,2005,other,5.0,125371133.0,1.0,1.0,54.3520252,18.6466384,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,4380.0
331,web,1,2011,USA,5.0,125371133.0,1.0,2.0,47.6062095,-122.3320708,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,6205.0
333,web,1,2004,NLD,5.0,125371133.0,1.0,3.0,49.4809302,8.4863599,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,5840.0
341,web,1,2002,USA,5.0,125371133.0,1.0,2.0,30.267153,-97.7430608,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,4745.0
344,web,1,2007,other,5.0,125371133.0,1.0,2.0,35.6894875,139.6917064,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,14965.0
345,other,1,1999,USA,5.0,125371133.0,1.0,1.0,32.715738,-117.1610838,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,3650.0
349,mobile,1,2010,USA,5.0,125371133.0,2.0,11.0,32.7766642,-96.7969879,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,5110.0
355,other,2,1930,other,5.0,125371133.0,2.0,59.0,24.8614622,67.0099388,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,8030.0
362,web,1,2000,FRA,5.0,125371133.0,1.0,1.0,48.863812,2.448451,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,5840.0
376,games_video,1,2007,other,5.0,125371133.0,1.0,2.0,31.2303904,121.4737021,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3650.0
378,other,1,2003,other,5.0,125371133.0,1.0,1.0,35.164633,33.38315,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,4015.0
380,software,1,2002,IND,5.0,125371133.0,1.0,2.0,12.9715987,77.5945627,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,3650.0
384,ecommerce,1,2002,other,5.0,125371133.0,3.0,3.0,51.1078852,17.0385376,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,6205.0
386,software,1,1999,USA,5.0,125371133.0,1.0,4.0,33.1580933,-117.3505939,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,5840.0
388,web,1,2011,other,5.0,125371133.0,1.0,2.0,1.352083,103.819836,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,7300.0
389,network_hosting,2,1996,CAN,6.0,33521974.0,1.0,4.0,45.5016889,-73.567256,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,5110.0
398,hardware,1,1984,GBR,5.0,125371133.0,1.0,7.0,51.7520209,-1.2577263,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,6935.0
